Fläche,Fragen
79.62,Wie groß ist die Fläche der Stadt Bad Wilsnack?
84.01,Wie viele Quadratmeter umfasst die Stadt Friesack?
67.95,Welche Fläche nimmt Ziesar ein?
35.52,Wie groß ist die Fläche der Stadt Rastenberg?
51.84,Wie groß ist die Fläche der Stadt Betzenstein?
63.68,Wie groß ist die Fläche von Golßen?
18.72,Wie groß ist die Fläche von Scheer?
45.22,Wie groß ist die Fläche von Gefell?
51.77,Wie groß ist die Fläche der Stadt Wegeleben?
27.42,Welche Fläche nimmt Bad Tennstedt ein?
61.88,Welche Fläche nimmt Gartz (Oder) ein?
14.72,Wie groß ist die Fläche der Stadt Schönau im Schwarzwald?
27.61,Welche Fläche nimmt Osterfeld ein?
30.44,Wie groß ist die Fläche von Dommitzsch?
32.61,Wie viele Quadratmeter umfasst die Stadt Schwanebeck?
78.65,Wie groß ist die Fläche von Schlieben?
50.28,Wie viele Quadratmeter umfasst die Stadt Schönsee?
3.38,Welche Fläche nimmt Krempe ein?
34.08,Welche Fläche nimmt Rethem (Aller) ein?
55.34,Wie viele Quadratmeter umfasst die Stadt Grebenau?
21.22,Wie viele Quadratmeter umfasst die Stadt Schlettau?
42.40,Wie viele Quadratmeter umfasst die Stadt Pleystein?
10.68,Welche Fläche nimmt Aach ein?
35.97,Wie groß ist die Fläche von Eckartsberga?
12.21,Wie viele Quadratmeter umfasst die Stadt Mainbernheim?
65.91,Welche Fläche nimmt Garz/Rügen ein?
9.18,Wie groß ist die Fläche von Katzenelnbogen?
46.34,Wie groß ist die Fläche der Stadt Fladungen?
23.48,Wie viele Quadratmeter umfasst die Stadt Ostritz?
63.37,Wie viele Quadratmeter umfasst die Stadt Hayingen?
34.22,Wie viele Quadratmeter umfasst die Stadt Rerik?
51.55,Wie groß ist die Fläche von Rosenthal?
31.25,Wie groß ist die Fläche von Veringenstadt?
50.74,Wie groß ist die Fläche von Meyenburg?
36.12,Wie groß ist die Fläche der Stadt Oderberg?
24.13,Wie viele Quadratmeter umfasst die Stadt Hirschberg?
24.08,Wie groß ist die Fläche von Gebesee?
27.05,Wie groß ist die Fläche von Königstein/Sächs. Schw.?
96.19,Wie viele Quadratmeter umfasst die Stadt Lenzen (Elbe)?
7.36,Welche Fläche nimmt Ortrand ein?
40.03,Wie viele Quadratmeter umfasst die Stadt Oberwiesenthal?
45.12,Welche Fläche nimmt Niemegk ein?
57.52,Wie groß ist die Fläche von Leutenberg?
9.00,Welche Fläche nimmt Scheibenberg ein?
23.41,Wie groß ist die Fläche von Wiesensteig?
20.58,Wie groß ist die Fläche von Magdala?
15.47,Welche Fläche nimmt Sachsenhagen ein?
22.69,Wie groß ist die Fläche der Stadt Plaue?
8.89,Wie groß ist die Fläche der Stadt Lauterecken?
10.51,Wie groß ist die Fläche der Stadt Marktsteft?
34.25,Wie groß ist die Fläche von Teuschnitz?
31.40,Wie groß ist die Fläche der Stadt Langenburg?
26.19,Wie viele Quadratmeter umfasst die Stadt Rieneck?
26.66,Wie groß ist die Fläche der Stadt Schauenstein?
36.42,Wie viele Quadratmeter umfasst die Stadt Gräfenthal?
48.15,Welche Fläche nimmt Teupitz ein?
13.75,Wie viele Quadratmeter umfasst die Stadt Wolfstein?
23.35,Wie groß ist die Fläche der Stadt Bacharach?
25.23,Welche Fläche nimmt Widdern ein?
46.06,Welche Fläche nimmt Hettingen ein?
21.34,Wie viele Quadratmeter umfasst die Stadt Velden?
78.87,Wie groß ist die Fläche der Stadt Penkun?
101.81,Wie groß ist die Fläche der Stadt Brüssow?
26.67,Wie groß ist die Fläche von Bad Sülze?
47.97,Welche Fläche nimmt Neukalen ein?
39.06,Wie groß ist die Fläche von Usedom?
35.30,Wie groß ist die Fläche der Stadt Sayda?
10.57,Wie viele Quadratmeter umfasst die Stadt Ranis?
27.21,Welche Fläche nimmt Röttingen ein?
15.16,Wie groß ist die Fläche der Stadt Ornbau?
35.94,Wie viele Quadratmeter umfasst die Stadt Lehesten?
31.66,Wie groß ist die Fläche von Rhinow?
23.40,Wie viele Quadratmeter umfasst die Stadt Oberhof?
10.85,Welche Fläche nimmt Stadt Wehlen ein?
10.17,Wie groß ist die Fläche der Stadt Neuerburg?
10.87,Wie groß ist die Fläche der Stadt Stadtprozelten?
14.42,Wie groß ist die Fläche von Buckow (Märkische Schweiz)?
31.01,Wie groß ist die Fläche der Stadt Arneburg?
28.21,Wie viele Quadratmeter umfasst die Stadt Lassan?
15.66,Wie groß ist die Fläche von Hohenberg a.d.Eger?
9.53,Wie groß ist die Fläche von Hohenleuben?
17.54,Wie viele Quadratmeter umfasst die Stadt Aub?
13.34,Wie groß ist die Fläche von Hornbach?
10.06,Wie viele Quadratmeter umfasst die Stadt Manderscheid?
38.69,Welche Fläche nimmt Kroppenstedt ein?
15.20,Wie viele Quadratmeter umfasst die Stadt Franzburg?
73.03,Wie groß ist die Fläche von Lieberose?
15.67,Wie viele Quadratmeter umfasst die Stadt Richtenberg?
26.90,Wie groß ist die Fläche der Stadt Schwarzenborn?
7.06,Wie viele Quadratmeter umfasst die Stadt Sankt Goarshausen?
37.36,Wie viele Quadratmeter umfasst die Stadt Liebstadt?
20.30,Wie viele Quadratmeter umfasst die Stadt Neustadt am Kulm?
7.06,Welche Fläche nimmt Schraplau ein?
7.47,Wie viele Quadratmeter umfasst die Stadt Orlamünde?
10.15,Wie groß ist die Fläche von Obermoschel?
10.75,Welche Fläche nimmt Clingen ein?
8.29,Welche Fläche nimmt Kupferberg ein?
9.47,Wie groß ist die Fläche der Stadt Lichtenberg?
12.07,Wie viele Quadratmeter umfasst die Stadt Rothenfels?
4.62,Welche Fläche nimmt Kyllburg ein?
53.10,Wie viele Quadratmeter umfasst die Stadt Werben (Elbe)?
7.29,Wie groß ist die Fläche von Stößen?
24.86,Wie groß ist die Fläche von Märkisch Buchholz?
13.05,Wie viele Quadratmeter umfasst die Stadt Kaub?
18.58,Wie groß ist die Fläche von Sandau (Elbe)?
8.25,Wie groß ist die Fläche der Stadt Ziegenrück?
23.70,Wie viele Quadratmeter umfasst die Stadt Schnackenburg?
8.67,Wie groß ist die Fläche von Neumark?
15.73,Wie groß ist die Fläche von Ummerstadt?
0.45,Wie groß ist die Fläche von Arnis?
